"DFC","CONTA","SUBCONTA"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Imposto","Impostos Estaduais","ICMS Mensal"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas Viagem","Viagem Deslocamento"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Abono Pecuniario Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
